name,domain,year founded,industry
"nbcuniversal media, llc",nbcuniversal.com,1926,entertainment
ministerie van defensie,werkenbijdefensie.nl,,military
university of phoenix,phoenix.edu,1976,higher education
independent,uberlabs.com,,internet
standard chartered bank,,1853,banking
pdvsa petroleos de venezuela s.a.,pdvsa.com,1976,oil & energy
sutherland global services,sutherlandglobal.com,1986,outsourcing/offshoring
four seasons hotels and resorts,fourseasons.com,,hospitality
harvard university,harvard.edu,,higher education
telecom italia,telecomitalia.com,1994,telecommunications
mary kay cosmetics,kirstirice.com,,professional training & coaching
ucla,ucla.edu,1919,higher education
international paper,internationalpaper.com,,paper & forest products
geico,geico.jobs,1936,insurance
pôle emploi,pole-emploi.org,,human resources
ch2m hill,ch2m.com,1946,civil engineering
kellogg company,kelloggcompany.com,1906,consumer goods
t-systems,t-systems.com,2000,information technology and services
purdue university,purdue.edu,1869,higher education
anheuser-busch inbev,ab-inbev.com,2008,consumer goods
columbia university in the city of new york,columbia.edu,,higher education
chase,chase.com,,financial services
providence health & services,providence.org,1859,hospital & health care
university of illinois at urbana-champaign,illinois.edu,1867,higher education
junta de andalucía,juntadeandalucia.es,1978,government administration
whirlpool corporation,whirlpoolcorp.com,1911,consumer goods
university of southern california,usc.edu,1880,research
my own business,hammons.nl,,translation and localization
"ping an insurance (group) company of china ,ltd",pingan.com,,financial services
desjardins,desjardins.com,1900,banking
telus,telus.com,2001,telecommunications
hays,hays.com,1867,staffing and recruiting
rite aid,riteaid.com,1968,retail
state of california,stateofcalifornia.gov,1850,government administration
vanguard,vanguard.com,1975,financial services
enterprise holdings,enterpriseholdings.com,,"leisure, travel & tourism"
leidos,leidos.com,1969,information technology and services
sky,sky.com,1989,broadcast media
blackrock,blackrock.com,1988,financial services
henkel,henkel.com,1876,consumer goods
tnt,tnt.com,1946,package/freight delivery
asda,asda.jobs,,retail
mckesson,mckesson.com,1833,hospital & health care
network rail,networkrail.co.uk,2001,transportation/trucking/railroad
compass group,compass-group.com,1941,food & beverages
atlas copco,atlascopco.com,1873,machinery
rio tinto,riotinto.com,1873,mining & metals
robert bosch,bosch.us,1906,mechanical or industrial engineering
marks and spencer,marksandspencer.com,1884,retail
us army corps of engineers,,,military
united states army reserve,,1908,military
regions bank,regions.com,1971,banking
the university of texas at austin,utexas.edu,1883,higher education
zurich insurance company ltd,zurich.com,1872,insurance
ppd,ppd.com,1985,pharmaceuticals
generalitat de catalunya,gencat.cat,,government administration
poste italiane,posteitaliane.it,1862,package/freight delivery
grant thornton llp,grantthornton.com,1924,accounting
the hartford,thehartford.com,1810,financial services
